UTC;Position;Altitude;Speed;Direction
2019-05-11T05:15:47Z;49.02066,2.571415;0;17;275
2019-05-11T05:16:12Z;49.022205,2.570638;0;32;354
2019-05-11T05:16:19Z;49.022461,2.570607;0;19;354
2019-05-11T05:17:45Z;49.022659,2.570584;0;0;314
2019-05-11T05:20:15Z;49.023651,2.569216;0;0;318
2019-05-11T05:21:11Z;49.023148,2.56014;0;105;264
2019-05-11T05:21:22Z;49.022556,2.548955;0;145;264
2019-05-11T05:21:31Z;49.022018,2.539721;775;142;265
2019-05-11T05:21:43Z;49.021507,2.527506;1200;144;266
2019-05-11T05:21:49Z;49.021317,2.521503;1425;145;267
2019-05-11T05:21:58Z;49.02095,2.512617;1750;146;266
2019-05-11T05:22:04Z;49.020672,2.506473;1950;147;265
2019-05-11T05:22:10Z;49.020355,2.499883;2175;148;265
2019-05-11T05:22:17Z;49.019974,2.493463;2400;150;264
2019-05-11T05:22:28Z;49.019039,2.480669;2825;153;263
2019-05-11T05:22:42Z;49.018158,2.467948;3225;154;265
2019-05-11T05:22:48Z;49.017746,2.46129;3450;155;264
2019-05-11T05:22:58Z;49.016922,2.448261;3800;161;264
2019-05-11T05:23:04Z;49.016525,2.440772;3925;169;265
2019-05-11T05:23:29Z;49.023468,2.410443;4275;199;309
2019-05-11T05:23:35Z;49.026993,2.405442;4325;208;319
2019-05-11T05:23:43Z;49.034271,2.397907;4550;224;327
2019-05-11T05:23:55Z;49.045341,2.387213;4950;244;328
2019-05-11T05:24:01Z;49.051529,2.381498;5275;249;328
2019-05-11T05:24:16Z;49.066223,2.367976;6200;254;328
2019-05-11T05:24:30Z;49.078995,2.35699;7025;258;334
2019-05-11T05:24:37Z;49.089241,2.352881;7600;259;351
2019-05-11T05:25:00Z;49.11396,2.361627;8950;267;27
2019-05-11T05:25:07Z;49.122803,2.37185;9475;273;42
2019-05-11T05:25:15Z;49.127506,2.380203;9800;276;51
2019-05-11T05:25:22Z;49.132908,2.396827;10325;285;69
2019-05-11T05:25:28Z;49.134445,2.408897;10575;292;80
2019-05-11T05:25:52Z;49.127792,2.460867;11150;333;104
2019-05-11T05:26:02Z;49.12397,2.482476;11375;345;105
2019-05-11T05:26:13Z;49.118851,2.510376;11700;360;105
2019-05-11T05:26:26Z;49.113235,2.541363;12225;367;105
2019-05-11T05:26:59Z;49.098923,2.624865;14150;370;104
2019-05-11T05:27:36Z;49.083515,2.715791;16100;374;104
2019-05-11T05:28:04Z;49.07048,2.793129;17425;385;104
2019-05-11T05:28:40Z;49.055073,2.883044;18850;395;104
2019-05-11T05:29:41Z;49.025528,3.05434;21625;405;104
2019-05-11T05:30:44Z;48.994926,3.229836;24425;408;105
2019-05-11T05:31:49Z;48.959473,3.406888;26100;435;109
2019-05-11T05:32:50Z;48.916485,3.594047;27275;463;109
2019-05-11T05:33:53Z;48.871098,3.78985;28825;475;109
2019-05-11T05:34:54Z;48.827061,3.978713;30500;479;109
2019-05-11T05:36:16Z;48.765839,4.237694;32600;484;109
2019-05-11T05:37:20Z;48.717102,4.441802;34325;478;109
2019-05-11T05:38:22Z;48.668701,4.64278;34950;491;110
2019-05-11T05:39:22Z;48.621578,4.835791;34975;489;110
2019-05-11T05:40:25Z;48.573761,5.031105;34975;491;110
2019-05-11T05:40:59Z;48.54528,5.146372;35000;492;110
2019-05-11T05:42:25Z;48.476986,5.419657;34975;488;110
2019-05-11T05:43:28Z;48.425873,5.623771;34975;490;110
2019-05-11T05:44:32Z;48.374771,5.824162;34975;493;111
2019-05-11T05:45:34Z;48.323086,6.026145;35025;496;111
2019-05-11T05:46:37Z;48.273239,6.218684;35000;496;111
2019-05-11T05:47:40Z;48.220856,6.420063;35025;495;111
2019-05-11T05:48:43Z;48.16777,6.621939;34975;495;111
2019-05-11T05:49:50Z;48.109829,6.84075;35000;494;111
2019-05-11T05:50:54Z;48.056259,7.040382;35025;489;112
2019-05-11T05:51:55Z;48.006203,7.226328;34950;488;112
2019-05-11T05:52:51Z;47.948364,7.399017;34975;486;123
2019-05-11T05:53:54Z;47.863541,7.561066;34975;486;128
2019-05-11T05:54:55Z;47.776245,7.72435;35000;486;128
2019-05-11T05:56:01Z;47.684647,7.894707;34975;482;128
2019-05-11T05:57:23Z;47.56897,8.108185;34975;480;128
2019-05-11T05:58:30Z;47.477043,8.277212;34950;485;129
2019-05-11T05:59:35Z;47.38422,8.445951;35025;487;128
2019-05-11T06:00:32Z;47.303833,8.591515;35050;484;129
2019-05-11T06:01:48Z;47.198196,8.781668;35000;476;129
2019-05-11T06:02:49Z;47.111847,8.936142;35000;476;129
2019-05-11T06:03:52Z;47.023674,9.093018;34950;475;129
