UTC;Position;Altitude;Speed;Direction
2019-05-12T00:22:38Z;40.640606,-73.79158;0;0;180
2019-05-12T00:28:53Z;40.640301,-73.791969;0;15;225
2019-05-12T00:29:05Z;40.640041,-73.792282;0;19;225
2019-05-12T00:29:12Z;40.63987,-73.792511;0;21;225
2019-05-12T00:29:19Z;40.639683,-73.792732;0;21;225
2019-05-12T00:29:26Z;40.639526,-73.792938;0;22;225
2019-05-12T00:29:32Z;40.63924,-73.793213;0;26;210
2019-05-12T00:29:39Z;40.638908,-73.792984;0;26;157
2019-05-12T00:29:55Z;40.638519,-73.792168;0;25;120
2019-05-12T00:30:04Z;40.638309,-73.791687;0;27;120
2019-05-12T00:30:10Z;40.63813,-73.79129;0;28;120
2019-05-12T00:30:17Z;40.637959,-73.790909;0;30;120
2019-05-12T00:30:29Z;40.637592,-73.7901;0;32;120
2019-05-12T00:30:35Z;40.637375,-73.789642;0;33;120
2019-05-12T00:30:47Z;40.636951,-73.788712;0;15;120
2019-05-12T00:31:04Z;40.636322,-73.787315;0;16;120
2019-05-12T00:31:11Z;40.636005,-73.786613;0;17;120
2019-05-12T00:31:18Z;40.63575,-73.786072;0;17;120
2019-05-12T00:31:28Z;40.63525,-73.784943;0;18;120
2019-05-12T00:31:34Z;40.634983,-73.784348;0;19;120
2019-05-12T00:31:41Z;40.634705,-73.783745;0;19;120
2019-05-12T00:31:48Z;40.634411,-73.783119;0;20;120
2019-05-12T00:31:54Z;40.634148,-73.782532;0;20;120
2019-05-12T00:32:00Z;40.633842,-73.781868;0;17;120
2019-05-12T00:32:11Z;40.63348,-73.781044;0;30;118
2019-05-12T00:32:17Z;40.633343,-73.780556;0;31;109
2019-05-12T00:32:23Z;40.633286,-73.78009;0;32;98
2019-05-12T00:32:29Z;40.633301,-73.779541;0;33;87
2019-05-12T00:32:37Z;40.633389,-73.779076;0;34;75
2019-05-12T00:32:43Z;40.633644,-73.778419;0;15;59
2019-05-12T00:32:49Z;40.633842,-73.778107;0;15;50
2019-05-12T00:32:56Z;40.634411,-73.777603;0;16;30
2019-05-12T00:33:03Z;40.634811,-73.777313;0;17;30
2019-05-12T00:33:11Z;40.63546,-73.776794;0;17;30
2019-05-12T00:33:19Z;40.63591,-73.776443;0;18;30
2019-05-12T00:33:29Z;40.636814,-73.775757;0;18;30
2019-05-12T00:33:36Z;40.637249,-73.775406;0;19;30
2019-05-12T00:33:47Z;40.638206,-73.774658;0;20;30
2019-05-12T00:33:53Z;40.638672,-73.7743;0;20;30
2019-05-12T00:33:59Z;40.639217,-73.773865;0;21;30
2019-05-12T00:34:07Z;40.639755,-73.773453;0;21;30
2019-05-12T00:34:13Z;40.640255,-73.773071;0;22;30
2019-05-12T00:34:24Z;40.641357,-73.772202;0;21;30
2019-05-12T00:34:37Z;40.642124,-73.771606;0;33;30
2019-05-12T00:34:43Z;40.642467,-73.771332;0;34;30
2019-05-12T00:34:53Z;40.643211,-73.770737;0;16;30
2019-05-12T00:35:00Z;40.643646,-73.770401;0;17;30
2019-05-12T00:35:11Z;40.644188,-73.770027;0;31;25
2019-05-12T00:35:18Z;40.644772,-73.769882;0;33;8
2019-05-12T00:35:24Z;40.64513,-73.769867;0;29;5
2019-05-12T00:35:33Z;40.645573,-73.769539;0;30;30
2019-05-12T00:35:41Z;40.645901,-73.769272;0;31;30
2019-05-12T00:35:47Z;40.646305,-73.768951;0;32;30
2019-05-12T00:35:55Z;40.646725,-73.768639;0;31;30
2019-05-12T00:36:03Z;40.647228,-73.76825;0;33;30
2019-05-12T00:36:11Z;40.647621,-73.767937;0;34;30
2019-05-12T00:36:18Z;40.647961,-73.767654;0;33;30
2019-05-12T00:36:27Z;40.648739,-73.767044;0;16;30
2019-05-12T00:36:35Z;40.648983,-73.766861;0;31;30
2019-05-12T00:36:41Z;40.649227,-73.76667;0;19;30
2019-05-12T00:36:52Z;40.649563,-73.766403;0;21;30
2019-05-12T00:37:02Z;40.649918,-73.766129;0;23;30
2019-05-12T00:38:05Z;40.650089,-73.765999;0;0;271
2019-05-12T00:39:12Z;40.650307,-73.765823;0;12;30
2019-05-12T00:39:26Z;40.650566,-73.765625;0;16;30
2019-05-12T00:39:36Z;40.650879,-73.765388;0;19;30
2019-05-12T00:39:44Z;40.651039,-73.765137;0;21;47
2019-05-12T00:39:53Z;40.650974,-73.764671;0;23;98
2019-05-12T00:40:02Z;40.650787,-73.764236;0;23;115
2019-05-12T00:40:23Z;40.650265,-73.763428;0;16;151
2019-05-12T00:40:39Z;40.650078,-73.763672;0;11;205
2019-05-12T00:41:05Z;40.64954,-73.764099;0;24;210
2019-05-12T00:41:12Z;40.648476,-73.764954;0;50;210
2019-05-12T00:41:18Z;40.646587,-73.766434;0;74;210
2019-05-12T00:41:31Z;40.641541,-73.770386;0;115;210
2019-05-12T00:41:43Z;40.634628,-73.775757;0;153;210
2019-05-12T00:41:49Z;40.630466,-73.778999;50;166;210
2019-05-12T00:42:01Z;40.622955,-73.785156;500;164;212
2019-05-12T00:42:11Z;40.615944,-73.79142;925;166;214
2019-05-12T00:42:19Z;40.611103,-73.795853;1125;171;214
2019-05-12T00:42:25Z;40.606819,-73.799782;1200;178;214
2019-05-12T00:42:37Z;40.598251,-73.807899;1325;192;215
2019-05-12T00:42:48Z;40.589539,-73.815308;1500;204;208
2019-05-12T00:42:55Z;40.583405,-73.817886;1575;212;195
2019-05-12T00:43:01Z;40.576981,-73.818634;1675;220;182
2019-05-12T00:43:09Z;40.567657,-73.816528;1800;232;165
2019-05-12T00:43:16Z;40.56134,-73.812683;1925;241;153
2019-05-12T00:43:22Z;40.55571,-73.807129;2075;248;141
2019-05-12T00:43:28Z;40.551636,-73.801025;2300;251;129
2019-05-12T00:43:34Z;40.547653,-73.792297;2575;253;120
2019-05-12T00:43:43Z;40.54467,-73.778877;2975;256;101
2019-05-12T00:43:51Z;40.544403,-73.768616;3250;259;90
2019-05-12T00:43:58Z;40.54565,-73.754532;3700;261;81
2019-05-12T00:44:04Z;40.546829,-73.745728;3975;263;79
2019-05-12T00:44:11Z;40.548489,-73.735619;4250;266;78
2019-05-12T00:44:18Z;40.550072,-73.725815;4525;268;77
2019-05-12T00:44:27Z;40.55246,-73.711182;4950;270;78
2019-05-12T00:44:43Z;40.557266,-73.68103;5575;286;78
2019-05-12T00:44:55Z;40.560104,-73.660645;5975;295;81
2019-05-12T00:45:20Z;40.553009,-73.618652;7200;295;112
2019-05-12T00:45:27Z;40.549622,-73.608765;7450;298;114
2019-05-12T00:45:41Z;40.541321,-73.583183;7925;309;112
2019-05-12T00:45:54Z;40.535221,-73.561646;8425;315;109
